lng,lat,marker-sym,name,line,marker-col
-77.12911152370515,38.79930767201779,rail-metro,Van Dorn Street,blue,#0000ff
-77.16797018042666,38.766521892689916,rail-metro,Franconia-Springfield,blue,#0000ff
-77.01586821694521,38.885072355144786,rail-metro,Federal Center SW,blue,#0000ff
-77.01663895662587,38.896090317663166,rail-metro,Judiciary Sq,red,#ff0000
-77.00513941992737,38.885062500925,rail-metro,Capitol South,blue,#0000ff
-77.02807799718069,38.89831447321318,rail-metro,Metro Center,red,#ff0000
-77.02191539042379,38.89831680979661,rail-metro,Gallery Pl-Chinatown,red,#ff0000
-77.02191438038649,38.906436814951725,rail-metro,Mt Vernon Sq - 7th St Convention Center,green,#008000
-77.0274958929489,38.91700239924426,rail-metro,U St/African-Amer Civil War Memorial/Cardozo,green,#008000
-77.00741429219985,38.89776603923524,rail-metro,Union Station,red,#ff0000
-76.98851193260715,38.84565770287511,rail-metro,Congress Heights,green,#008000
-76.95626270945314,38.8513013835867,rail-metro,Naylor Road,green,#008000
-76.93187015895299,38.84396455441679,rail-metro,Suitland,green,#008000
-76.91146421773884,38.82644634832078,rail-metro,Branch Ave,green,#008000
-77.05366757406264,38.81414366728901,rail-metro,Braddock Road,blue,#0000ff
-77.06081120854599,38.806586117247996,rail-metro,King St - Old Town,blue,#0000ff
-77.07087438931458,38.800425449701244,rail-metro,Eisenhower Ave,yellow,#ffff00
-77.075205789149,38.793915852906736,rail-metro,Huntington,yellow,#ffff00
-76.99537073875437,38.862963116801595,rail-metro,Anacostia,green,#008000
-76.99600112671642,38.884622260842676,rail-metro,Eastern Market,blue,#0000ff
-76.98549531965503,38.88126327363317,rail-metro,Potomac Ave,blue,#0000ff
-76.97708890144222,38.88670908984284,rail-metro,Stadium Armory,blue,#0000ff
-76.9959369166641,38.921059689186336,rail-metro,Rhode Island Ave,red,#ff0000
-76.94674773364017,38.89919122308901,rail-metro,Minnesota Ave,orange,#ffa500
-77.06298618051905,38.94326528832245,rail-metro,Van Ness-UDC,red,#ff0000
-77.05804251913345,38.93476289080542,rail-metro,Cleveland Park,red,#ff0000
-77.03255211771173,38.9278379675233,rail-metro,Columbia Heights,green,#008000
-76.92812498187074,38.97863363396686,rail-metro,College Park-U of Md,green,#008000
-76.91180811452222,38.889465856872334,rail-metro,Capitol Heights,blue,#0000ff
-76.86807476813904,38.89383492821474,rail-metro,Morgan Boulevard,blue,#0000ff
-77.02346090408138,38.93743463014478,rail-metro,Georgia Ave Petworth,green,#008000
-77.01817669871063,38.97607853106706,rail-metro,Takoma,red,#ff0000
-77.05355735935977,39.06178376553033,rail-metro,Glenmont,red,#ff0000
-77.05010705352652,39.03752714367442,rail-metro,Wheaton,red,#ff0000
-77.04291655489614,39.01495427527835,rail-metro,Forest Glen,red,#ff0000
-77.03101782681891,38.99394937476845,rail-metro,Silver Spring,red,#ff0000
-76.99453428510049,38.93321099135371,rail-metro,Brookland-CUA,red,#ff0000
-77.00220307680834,38.95184676758986,rail-metro,Fort Totten,red,#ff0000
-76.95588150788183,38.96538544585582,rail-metro,Prince George's Plaza,green,#008000
-76.9695766751036,38.955040170722334,rail-metro,West Hyattsville,green,#008000
-76.93836486812415,38.89097567600269,rail-metro,Benning Road,blue,#0000ff
-76.89410791000809,38.886747816832674,rail-metro,Addison Road Seat Pleasant,blue,#0000ff
-76.93525678304978,38.908178496517216,rail-metro,Deanwood,orange,#ffa500
-76.87184128655672,38.94778485583298,rail-metro,New Carrollton,orange,#ffa500
-76.8911979676093,38.93350623445376,rail-metro,Landover,orange,#ffa500
-76.91662804405367,38.916631854659755,rail-metro,Cheverly,orange,#ffa500
-76.84203752022478,38.905068807210085,rail-metro,Largo Town Center,blue,#0000ff
-77.00302044727623,38.9070162121509,rail-metro,NoMa - Gallaudet U,red,#ff0000
-77.07090868538504,38.89597909628309,rail-metro,Rosslyn,blue,#0000ff
-77.06281012914037,38.88468685852292,rail-metro,Arlington|Cemetery,blue,#0000ff
-77.04341435972708,38.90959805757176,rail-metro,Dupont Circle,red,#ff0000
-77.05371567343194,38.869462701258364,rail-metro,Pentagon,blue,#0000ff
-77.05028980970857,38.857904320437974,rail-metro,Crystal City,blue,#0000ff
-77.00508565136944,38.87648108490679,rail-metro,Navy Yard - Ballpark,green,#008000
-77.03363417212512,38.90133279688736,rail-metro,McPherson Sq,blue,#0000ff
-77.02191170078564,38.91347687116465,rail-metro,Shaw-Howard Univ,green,#008000
-76.97505413887284,38.841085780329024,rail-metro,Southern Ave,green,#008000
-76.91105757313493,39.01114586051427,rail-metro,Greenbelt,green,#008000
-77.07958732553253,38.94885143514487,rail-metro,Tenleytown-AU,red,#ff0000
-77.18909482259758,38.90078055103285,rail-metro,West Falls Church VT/UVA,orange,#ffa500
-77.22716067211516,38.88362513595476,rail-metro,Dunn Loring Merrifield,orange,#ffa500
-77.27262225692775,38.877601123856635,rail-metro,Vienna Fairfax-GMU,orange,#ffa500
-77.08499580503951,38.959483873675715,rail-metro,Friendship Heights,red,#ff0000
-77.16462733437842,39.11992732498129,rail-metro,Shady Grove,red,#ff0000
-77.14612533928484,39.084321607556745,rail-metro,Rockville,red,#ff0000
-77.12081795176874,39.06246765170041,rail-metro,Twinbrook,red,#ff0000
-77.1128298590364,39.04815135732502,rail-metro,White Flint,red,#ff0000
-77.10384972001367,39.02926895002534,rail-metro,Grosvenor-Strathmore,red,#ff0000
-77.09695229054405,39.00005648434642,rail-metro,Medical Center,red,#ff0000
-77.09412919222653,38.984393660394474,rail-metro,Bethesda,red,#ff0000
-77.05027773906102,38.900698009227014,rail-metro,Foggy Bottom GWU,blue,#0000ff
-77.0871312310518,38.89017553121852,rail-metro,Court House,orange,#ffa500
-77.09539409835607,38.886704839074675,rail-metro,Clarendon,orange,#ffa500
-77.15688301999151,38.88595316637261,rail-metro,East Falls Church,orange,#ffa500
-77.10297729421117,38.88336615180341,rail-metro,Virginia Square-GMU,orange,#ffa500
-77.11316883505587,38.882182873810734,rail-metro,Ballston-MU,orange,#ffa500
-77.0406954151549,38.90131289417984,rail-metro,Farragut West,blue,#0000ff
-77.03970082724703,38.90320194626843,rail-metro,Farragut North,red,#ff0000
-77.05241802079871,38.92508513710051,rail-metro,Woodley Park-Zoo Adams Morgan,red,#ff0000
-77.02190848409535,38.88483772791197,rail-metro,L'Enfant Plaza,green,#008000
-77.02806623428602,38.888018702051426,rail-metro,Smithsonian,blue,#0000ff
-77.05953892154457,38.86188238675449,rail-metro,Pentagon City,blue,#0000ff
-77.02813199840536,38.89318087185462,rail-metro,Federal Triangle,blue,#0000ff
-77.02191438799919,38.89366522352208,rail-metro,Archives-Navy Mem'l,green,#008000
-77.01750520880347,38.87646186689611,rail-metro,Waterfront,green,#008000
-77.04404229438322,38.85341638599062,rail-metro,Ronald Reagan Washington National Airport,blue,#0000ff
